original_name,frequency,normalized_name
"ALLY BANK, AS AGENT",41,ALLY BANK
DBD CREDIT FUNDING LLC,41,DBD CREDIT FUNDING LLC
"FIRST NATIONAL BANK OF CHICAGO, AS COLLATERAL AGENT, THE",41,FIRST NATIONAL BANK OF CHICAGO
FORTRESS CREDIT CORP.,41,FORTRESS CREDIT CORP
HUDSON BAY FUND LP,41,HUDSON BAY FUND LP
"JPMORGAN CHASE BANK, N.A. (F/K/A THE CHASE MANHATTAN BANK), AS COLLATERAL AGENT",41,JP MORGAN CHASE BANK NA F K A THE CHASE MANHATTAN BANK
LANDMARK COMMUNITY BANK,41,LANDMARK COMMUNITY BANK
"MERIDIAN MEDICAL TECHNOLOGIES, INC.",41,MERIDIAN MEDICAL TECHNOLOGIES INC
"PNC BANK, NATIONAL ASSOCIATION, AS AGENT FOR THE LENDERS",41,PNC BANK NA FOR THE LENDERS
"ADVANCED TECHNOLOGY VENTURES VII (B), L.P.",40,ADVANCED TECHNOLOGY VENTURES VII B LP
"ADVANCED TECHNOLOGY VENTURES VII (C), L.P.",40,ADVANCED TECHNOLOGY VENTURES VII C LP
"ADVANCED TECHNOLOGY VENTURES VII, L.P.",40,ADVANCED TECHNOLOGY VENTURES VII LP
"ARNEBECK, WILLIAM, INDIVIDUAL TRUSTEE",40,ARNEBECK WILLIAM INDIVIDUAL TRUSTEE
BACK BAY CAPITAL FUNDING LLC,40,BACK BAY CAPITAL FUNDING LLC
"CHURCHILL FINANCIAL LLC, AS ADMINISTRATIVE AGENT",40,CHURCHILL FINANCIAL LLC
"CITIZENS BANK, N.A., AS SUCCESSOR TO RBS CITIZENS, N.A.",40,CITIZENS BANK NA AS SUCCESSOR TO RBS CITIZENS NA
CREDIT AGRICOLE INDOSUEZ,40,CREDIT AGRICOLE INDOSUEZ
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH (F/K/A CREDIT SUISSE FIRST BOSTON), AS COLLATERAL AGENT",40,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH F K A CREDIT SUISSE FIRST BOSTON
DEUTSCHE BANK AG,40,DEUTSCHE BANK AG
"DEUTSCHE BANK AG, LONDON BRANCH",40,DEUTSCHE BANK AG LONDON BRANCH
FIDELITY UNION BANK,40,FIDELITY UNION BANK
"KPS SPECIAL SITUATIONS FUND II (A), L.P.",40,KPS SPECIAL SITUATIONS FUND II A LP
"KPS SPECIAL SITUATIONS FUND II, L.P.",40,KPS SPECIAL SITUATIONS FUND II LP
"NBD BANK, N.A.",40,NBD BANK NA
"VODIK LABS, LP",40,VODIK LABS LP
"VYTERIS, INC",40,VYTERIS INC
"WELLS FARGO CAPITAL FINANCE, LLC SUCCESSOR BY MERGER TO WACHOVIA CAPITAL FINANCE CORPORATION (NEW ENGLAND)",40,WELLS FARGO CAPITAL FINANCE LLC SUCCESSOR BY MERGER TO WACHOVIA CAPITAL FINANCE CORP NEW ENGLAND
"ANALOG DEVICES, INC.",39,ANALOG DEVICES INC
"ATV ENTREPRENEURS VII, LP",39,ATV ENTREPRENEURS VII LP
BPCR LIMITED PARTNERSHIP,39,BPCR LTD PARTNERSHIP
"BROADCAST LENDCO, LLC (SUCCESSOR TO PNC BANK, NATIONAL ASSOCIATION), AS AGENT",39,BROADCAST LENDCO LLC SUCCESSOR TO PNC BANK NA
"CANTOR FITZGERALD SECURITIES, AS AGENT AND AS COLLATERAL AGENT",39,CANTOR FITZGERALD SECURITIES &
"CITICORP USA, INC., AS U.S. COLLATERAL AGENT",39,CITICORP USA INC
"CREDIT SUISSE AG, SYDNEY BRANCH",39,CREDIT SUISSE AG SYDNEY BRANCH
CROWDOUT CAPITAL LLC,39,CROWDOUT CAPITAL LLC
"GENERAL ELECTRIC CAPITAL CORPORATION, AS AGENT AND LENDER",39,GENERAL ELECTRIC CAPITAL CORP & LENDER
"HIGHBRIDGE PRINCIPAL STRATEGIES, LLC",39,HIGHBRIDGE PRINCIPAL STRATEGIES LLC
"INNOVATUS LIFE SCIENCES LENDING FUND I, LP",39,INNOVATUS LIFE SCIENCES LENDING FUND I LP
"JPMORGAN CHASE BANK, AS ADMINISTRATIVE AGENT (F/K/A THE CHASE MANHATTAN BANK)",39,JP MORGAN CHASE BANK F K A THE CHASE MANHATTAN BANK
"KHOSLA VENTURES III, LP",39,KHOSLA VENTURES III LP
LAKESTAR SEMI INC.,39,LAKESTAR SEMI INC
LB I GROUP INC.,39,LB I GROUP INC
"SNTC HOLDING, INC., AS COLLATERAL AGENT",39,SNTC HOLDING INC
"UBS AG, STAMFORD BRANCH, AS ADMINISTRATIVE AND COLLATERAL AGENT",39,UBS AG STAMFORD BRANCH
"VINOD KHOSLA AND NEERU KHOSLA, TRUSTEES OF THE KFT TRUST DATED NOVEMBER 17, 1986",39,VINOD KHOSLA & NEERU KHOSLA TRUSTEES OF THE KFT TRUST DATED NOVEMBER 17 1986
"ANTARES CAPITAL LP, AS AGENT",38,ANTARES CAPITAL LP
BANK OF AMERIC NATIONAL TRUST & SAVINGS ASSOCIATION,38,BANK OF AMERIC NATIONAL TRUST & SAVINGS ASSOCIATION
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT, A BRANCH OF CREDIT SUISSE",38,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH A BRANCH OF CREDIT SUISSE
"FLEET CAPITAL CANADA CORPORATION, AS CANADIAN AGENT",38,FLEET CAPITAL CANADA CORP AS CANADIANAGENT
FLEET CAPITAL CORPORATION AS AGENT,38,FLEET CAPITAL CORPORATIONAS AGENT
"FLEET NATIONAL BANK F/K/A BANKBOSTON, N.A.",38,FLEET NATIONAL BANK F K A BANKBOSTON NA
"FLEET NATIONAL BANK, LONDON U.K. BRANCH TA/FLEETBOSTON FINANCIAL, AS UK AGENT",38,FLEET NATIONAL BANK LONDON U K BRANCH TA FLEETBOSTON FINANCIAL AS UK AGENT
"LEHMAN COMMERCIAL PAPER INC., AS ADMINISTRATIVE AGENT",38,LEHMAN COMMERCIAL PAPER INC
"MERITOR HEAVY VEHICLE SYSTEMS, LLC",38,MERITOR HEAVY VEHICLE SYSTEMS LLC
SOLAR CAPITAL LTD.,38,SOLAR CAPITAL LTD
"THE CHASE MANHATTAN BANK (FORMERLY CHASE BANK OF TEXAS, N.A.)",38,CHASE MANHATTAN BANK FORMERLY CHASE BANK OF TEXAS NA
"VICTORY PARK MANAGEMENT, LLC",38,VICTORY PARK MANAGEMENT LLC
AQUALON COMPANY,37,AQUALON CO
ATHENS HOLDINGS INC.,37,ATHENS HOLDINGS INC
"BANK OF AMERICA, NATIONAL ASSOCIATION, AS FIRST LIEN COLLATERAL AGENT",37,BANK OF AMERICA NA
"BETSDEARBORN EUROPE, INC.",37,BETSDEARBORN EUROPE INC
"BETZDEARBORN CHINA, LTD.",37,BETZDEARBORN CHINA LTD
"BETZDEARBORN INTERNATIONAL, INC.",37,BETZDEARBORN INTERNATIONAL INC
"BETZDEARBORN, INC.",37,BETZDEARBORN INC
BL CHEMICALS INC.,37,BL CHEMICALS INC
BL TECHNOLOGIES INC,37,BL TECHNOLOGIES INC
BLI HOLDING CORPORATION,37,BLI HOLDING CORP
"CHEMICAL TECHNOLOGIES INDIA, LTD.",37,CHEMICAL TECHNOLOGIES INDIA LTD
"COVINGTON HOLDINGS, INC.",37,COVINGTON HOLDINGS INC
DRC LTD,37,DRC LTD
"EAST BAY REALTY SERVICES, INC.",37,EAST BAY REALTY SERVICES INC
"ESCALATE CAPITAL I, L.P.",37,ESCALATE CAPITAL I LP
FIBERVISION INCORPORATED,37,FIBERVISION INC
FIBERVISION LLC,37,FIBERVISION LLC
FIBERVISION PRODUCTS INC.,37,FIBERVISION PRODUCTS INC
"FIBERVISIONS, LP",37,FIBERVISIONS LP
HERCULES CHEMICAL CORPORATION,37,HERCULES CHEMICAL CORP
"HERCULES COUNTRY CLUB, INC.",37,HERCULES COUNTRY CLUB INC
HERCULES CREDIT INC,37,HERCULES CREDIT INC
"HERCULES EURO HOLDINGS, LLC",37,HERCULES EURO HOLDINGS LLC
HERCULES FINANCE COMPANY,37,HERCULES FINANCE CO
HERCULES FLAVOR INC,37,HERCULES FLAVOR INC
HERCULES INCORPORATED,37,HERCULES INC
HERCULES INTERNATIONAL LIMITED,37,HERCULES INTERNATIONAL LTD
HERCULES INTERNATIONAL LIMITED LLC,37,HERCULES INTERNATIONAL LTD LLC
HERCULES INVESTMENTS LLC,37,HERCULES INVESTMENTS LLC
HERCULES SHARED SERVICES CORPORATION,37,HERCULES SHARED SERVICES CORP
HISPAN CORPORATION,37,HISPAN CORP
"JPMORGAN CHASE BANK, AS COLLATERAL AGENT (F/K/A THE CHASE MANHATTAN BANK)",37,JP MORGAN CHASE BANK F K A THE CHASE MANHATTAN BANK
"OXFORD FINANCE LLC, AS COLLATERAL AGENT AND AS LENDER",37,OXFORD FINANCE LLC & AS LENDER
"PEGASUS PARTNERS II, L.P.",37,PEGASUS PARTNERS II LP
REGENMACHER LTD.,37,REGENMACHER LTD
"UMB BANK, NATIONAL ASSOCIATION",37,UMB BANK NA
"WELLS FARGO BANK (INCLUDING AS SUCCESSOR-BY-MERGER TO WACHOVIA BANK), NATIONAL ASSOCIATION, AS COLLATERAL AGENT",37,WELLS FARGO BANK INCLUDING AS SUCCESSOR-BY-MERGER TO WACHOVIA BANK NA
"WELLS FARGO FOOTHILL, INC., FORMERLY KNOWN AS FOOTHILL CAPITAL CORPORATION",37,WELLS FARGO FOOTHILL INC FORMERLY KNOWNAS FOOTHILL CAPITAL CORP
"WSP, INC",37,WSP INC
BANK OF AMERICA NATIONAL TRUST & SAVINGS ASSOCIATION,36,BANK OF AMERICA NATIONAL TRUST & SAVINGS ASSOCIATION
"BANK OF AMERICA, N.A., AS SENIOR COLLATERAL AGENT",36,BANK OF AMERICA NA AS SENIOR COLLATERAL AGENT
"BANK OF AMERICA, N.A., SUCCESSOR BY ASSIGNMENT OF ASSETS TO FCC TRANSITION, LLC, SUCCESSOR BY MERGER TO FLEET CAPITAL CORPORATION, AS AGENT,",36,BANK OF AMERICA NA SUCCESSOR BY ASSIGNMENT OF ASSETS TO FCC TRANSITION LLC SUCCESSOR BY MERGER TO FLEET CAPITAL CORP
"BIOPHARMA CREDIT PLC, AS COLLATERAL AGENT",36,BIOPHARMA CREDIT PLC
"CITICORP NORTH AMERICA, INC., AS ADMINISTRATIVE AGENT AND AS COLLATERAL AGENT",36,CITICORP NORTH AMERICA INC &
CRG ISSUER 2015-1,36,CRG ISSUER 2015-1
"DELAWARE TRUST COMPANY, AS COLLATERAL AGENT",36,DELAWARE TRUST CO
"FIRST EAGLE PRIVATE CREDIT, LLC (F/K/A/ NEWSTAR FINANCIAL, LLC (NEWSTAR FINANCIAL, LLC F/K/A NEWSTAR FINANCIAL, INC.))",36,FIRST EAGLE PRIVATE CREDIT LLC F K A NEWSTAR FINANCIAL LLC NEWSTAR FINANCIAL LLC F K A NEWSTAR FINANCIAL INC
"GE BUSINESS FINANCIAL SERVICES INC., FORMERLY MERRILL LYNCH BUSINESS FINANCIAL SERVICES INC.",36,GE BUSINESS FINANCIAL SERVICES INC FORMERLY MERRILL LYNCH BUSINESS FINANCIAL SERVICES INC
"HEALTHCARE ROYALTY GP II, LLC",36,HEALTHCARE ROYALTY GP II LLC
"HILCO CAPITAL, LP",36,HILCO CAPITAL LP
"IMAGE INVESTOR PORTFOLIO, A SEPARATE SERIES OF MEMPHIS ANGELS, LLC",36,IMAGE INVESTOR PORTFOLIO A SEPARATE SERIES OF MEMPHIS ANGELS LLC
MONSANTO COMPANY,36,MONSANTO CO
"MUFG UNION BANK, N.A.,",36,MUFG UNION BANK NA
"NATIONSBANK OF GEORGIA, N.A. (F/K/A CITIZENS AND SOUTHERN TRUST COMPANY, N.A.)",36,NATIONSBANK OF GEORGIA NA F K A CITIZENS & SOUTHERN TRUST CO NA
"PATRIARCH PARTNERS AGENCY SERVICES, LLC",36,PATRIARCH PARTNERS AGENCY SERVICES LLC
ROYAL BANK OF SCOTLAND,36,ROYAL BANK OF SCOTLAND
"SUN DRIVESOL FINANCE, LLC",36,SUN DRIVESOL FINANCE LLC
"UBS AG, ZURICH",36,UBS AG ZURICH
"UROLOGIX, INC.",36,UROLOGIX INC
ADAMS STREET CREDIT ADVISORS LP,35,ADAMS STREET CREDIT ADVISORS LP
DELL PRODUCTS L.P.,35,DELL PRODUCTS LP
"ENZON LABS, INC. SUCCESSOR TO GENEX CORPORATION",35,ENZON LABS INC SUCCESSOR TO GENEX CORP
ESTATE OF STANLEY J. SARNOFF C/O ROBERT E. HERZSTEIN SHEARMAN & STERLING,35,ESTATE OF STANLEY J SARNOFF C O ROBERT E HERZSTEIN SHEARMAN & STERLING
FIRST PENNSYLVANIA BANK N.A.,35,FIRST PENNSYLVANIA BANK NA
GORDON BROTHERS FINANCE CO.,35,GORDON BROTHERS FINANCE CO
"GRACE BAY HOLDINGS II, LLC, AS SUCCESSOR-BY-ASSIGNMENT TO PARTNERS FOR GROWTH III, L.P.",35,GRACE BAY HOLDINGS II LLC AS SUCCESSOR-BY-ASSIGNMENT TO PARTNERS FOR GROWTH III LP
"NATIONAL BANK OF BOSTON, THE",35,NATIONAL BANK OF BOSTON
"PARTNERS FOR GROWTH III, L.P.",35,PARTNERS FOR GROWTH III LP
"THE BANK OF NEW YORK MELLON, AS THE COLLATERAL AGENT AND TRUSTEE",35,BANK OF NEW YORK MELLON & TRUSTEE
"WELLS FARGO BANK, NATIONAL ASSOCIATION (AS ADMINISTRATIVE AGENT)",35,WELLS FARGO BANK NA
"WELLS FARGO, NATIONAL ASSOCIATION",35,WELLS FARGO NA
"BANK OF AMERICA, N.A. (FORMERLY FLEET NATIONAL BANK)",34,BANK OF AMERICA NA FORMERLY FLEET NATIONAL BANK
"BANK OF AMERICA, N.A. (FORMERLY KNOWN AS NATIONSBANK, N.A.)",34,BANK OF AMERICA NA FORMERLY KNOWNAS NATIONSBANK NA
BLACK HORSE CAPITAL MASTER FUND LTD.,34,BLACK HORSE CAPITAL MASTER FUND LTD
"CHEMICAL BANK, A NY. BANKING CORP.",34,CHEMICAL BANK A NY BANKING CORP
"CREDIT SUISSE, AS COLLATERAL AGENT",34,CREDIT SUISSE
"DDJ CAPITAL MANGEMENT, LLC",34,DDJ CAPITAL MANGEMENT LLC
"GOLDMAN SACH BANK USA, AS AGENT",34,GOLDMAN SACH BANK USA
"INVESTEC BANK, PLC, AS SECURITY AGENT",34,INVESTEC BANK PLC AS SECURITY AGENT
"JPMORGAN CHASE BANK, N.A. (AS SUCCESSOR TO BANK OF AMERICA, N.A.)",34,JP MORGAN CHASE BANK NA AS SUCCESSOR TO BANK OF AMERICA NA
"JPMORGAN CHASE BANK, N.A. AS AGENT",34,JP MORGAN CHASE BANK NA
KAMA-TECH CORPORATION,34,KAMA-TECH CORP
NATIONSBANK EUROPE LIMITED,34,NATIONSBANK EUROPE LTD
"NEWSTONE CAPITAL PARTNERS, LLC",34,NEWSTONE CAPITAL PARTNERS LLC
"PNC BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",34,PNC BANK NA & COLLATERAL AGENT
"SANKATY ADVISORS, LLC",34,SANKATY ADVISORS LLC
"SUN PLUMBING V FINANCE, LLC",34,SUN PLUMBING V FINANCE LLC
"ZIONS BANCORPORATION, N.A. DBA NEVADA STATE BANK",34,ZIONS BANCORP NA DBA NEVADA STATE BANK
BANK HAPOALIM B.M.,33,BANK HAPOALIM B M
"BANK OF AMERICA, N.A",33,BANK OF AMERICA NA
BISHOPSGATE HOLDINGS CORPORATION,33,BISHOPSGATE HOLDINGS CORP
"CRESCENT COVE CAPITAL II, LP",33,CRESCENT COVE CAPITAL II LP
"CYTEC INDUSTRIES, INC.",33,CYTEC INDUSTRIES INC
"DEUTSCHE BANK TRUST COMPANY AMERICAS (FOERMERLY KNOWN AS BANKERS TRUST COMPANY), AS AGENT",33,DEUTSCHE BANK TRUST CO AMERICAS FOERMERLY KNOWNAS BANKERS TRUST CO
DIAMOND STATE VENTURES III LP,33,DIAMOND STATE VENTURES III LP
"FLEET NATIONAL BANK, AS AGENT",33,FLEET NATIONAL BANK
"HANSEN MEDICAL, INC.",33,HANSEN MEDICAL INC
"INDEPENDENT BANKERS CAPITAL FUND III, L.P.",33,INDEPENDENT BANKERS CAPITAL FUND III LP
"JPMORGAN CHASE BANK, N.A., AS COLLATERAL AND ADMINISTRATIVE AGENT",33,JP MORGAN CHASE BANK NA
"KEYBANK NATIONAL ASSOCIATION, AS AGENT",33,KEYBANK NA
SILCON VALLEY BANK,33,SILCON VALLEY BANK
"SUNTRUST BANK, AS AGENT",33,SUNTRUST BANK
TCW ASSET MANAGEMENT COMPANY LLC (F/K/A TCW ASSET MANAGEMENT COMPANY),33,TCW ASSET MANAGEMENT CO LLC F K A TCW ASSET MANAGEMENT CO
"THE BANK OF NEW YORK, AS PRIORITY LIEN COLLATERAL TRUSTEE",33,BANK OF NEW YORK AS PRIORITY LIEN COLLATERAL TRUSTEE
"U.S. BANK NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",33,US BANK NA
"U.S. HEALTHCARE, LLC (AS ADMINISTRATIVE AND COLLATERAL AGENT)",33,US HEALTHCARE LLC
"VENTURE LENDING & LEASING IX, INC.",33,VENTURE LENDING & LEASING IX INC
"WACHOVIA BANK, NATIONAL ASSOCIATION (FORMERLY KNOWN AS FIRST UNION NATIONAL BANK)",33,WACHOVIA BANK NA FORMERLY KNOWNAS FIRST UNION NATIONAL BANK
WACHOVIA CAPITAL FINANCE CORPORATION (CENTRAL) (FORMERLY KNOW AS CONGRESS FINANCIAL CORPORATION (CENTRAL)),33,WACHOVIA CAPITAL FINANCE CORP CENTRAL FORMERLY KNOW AS CONGRESS FINANCIAL CORP CENTRAL
"WELLS FARGO BANK, NATIONAL ASSOCIATION (SUCCESSOR BY MERGER TO WACHOVIA BANK, NATIONAL ASSOCIATION, AS SUCCESSOR BY MERGER TO CONGRESS FINANCIAL CORPORATION), AS AGENT",33,WELLS FARGO BANK NA SUCCESSOR BY MERGER TO WACHOVIA BANK NA AS SUCCESSOR BY MERGER TO CONGRESS FINANCIAL CORP
"WELLS FARGO BANK, NATIONAL ASSOCIATION AS ADMINISTRATIVE AGENT",33,WELLS FARGO BANK NATIONAL ASSOCIATIONAS ADMINISTRATIVE AGENT
AETNA LIFE INSURANCE COMPANY,32,AETNA LIFE INSURANCE CO
ALLY COMMERCIAL FINANCE LLC (F/K/A GMAC COMMERCIAL FINANCE LLC),32,ALLY COMMERCIAL FINANCE LLC F K A GMAC COMMERCIAL FINANCE LLC
"ARES CAPITAL CORPORATION, AS COLLATERAL AGENT",32,ARES CAPITAL CORP
"BANK OF AMERICA, N.A., SUCCESSOR TO FLEET CAPITAL CORPORATION, AS AGENT",32,BANK OF AMERICA NA SUCCESSOR TO FLEET CAPITAL CORP
"BANK OF MONTREAL, AS AGENT",32,BANK OF MONTREAL
"BANKBOSTON, N.A.",32,BANKBOSTON NA
"CERBERUS BUSINESS FINANCE, LLC AS COLLATERAL AGENT",32,CERBERUS BUSINESS FINANCE LLC
COLE TAYLOR BANK,32,COLE TAYLOR BANK
COOPERATIEVE RABOBANK U.A.,32,COOPERATIEVE RABOBANK U A
"GENERAL DATACOMM INDUSTRES, INC.",32,GENERAL DATACOMM INDUSTRES INC
J.P.MORGAN EUROPE LIMITED,32,J P MORGAN EUROPE LTD
"JPMORGAN CHASE BANK, N.A., AS GENERAL ADMINISTRATIVE AGENT",32,JP MORGAN CHASE BANK NA AS GENERAL ADMINISTRATIVE AGENT
"KING PHARMACEUTICALS RESEARCH AND DEVELOPMENT, INC.",32,KING PHARMACEUTICALS RESEARCH & DEVELOPMENT INC
"LEVINE LEICHTMAN CAPITAL PARTNERS, II, L.P.",32,LEVINE LEICHTMAN CAPITAL PARTNERS II LP
"LIFE SCIENCES OPPORTUNITIES FUND (INSTITUTIONAL) II, L.P.",32,LIFE SCIENCES OPPORTUNITIES FUND INSTITUTIONAL II LP
"LIFE SCIENCES OPPORTUNITIES FUND II, L.P.",32,LIFE SCIENCES OPPORTUNITIES FUND II LP
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,32,MASSACHUSETTS MUTUAL LIFE INSURANCE CO
NATIONAL-OILWELL,32,NATIONAL-OILWELL
"NDS HOLDCO, INC.",32,NDS HOLDCO INC
NOBLE VENTURE FINANCE II S.A.,32,NOBLE VENTURE FINANCE II SA
PARIBAS,32,PARIBAS
PAUL ROYALTY FUND HOLDINGS II,32,PAUL ROYALTY FUND HOLDINGS II
REXENE CORPORATION,32,REXENE CORP
ROADMAP GEO LP III,32,ROADMAP GEO LP III
"U.S. HEALTHCARE I, LLC (AS ADMINISTRATIVE AND COLLATERAL AGENT)",32,US HEALTHCARE I LLC
"VIRTUS GROUP, LP",32,VIRTUS GROUP LP
"WELLS FARGO CAPITAL FINANCE, INC., FORMERLY KNOWN AS WELLS FARGO FOOTHILL, INC., AS GRANTEE",32,WELLS FARGO CAPITAL FINANCE INC FORMERLY KNOWNAS WELLS FARGO FOOTHILL INC AS GRANTEE
"WELLS FARGO CAPITAL FINANCE, LLC (FORMERLY KNOWN AS WELLS FARGO CAPITAL FINANCE, INC. AND WELLS FARGO FOOTHILL, INC.)",32,WELLS FARGO CAPITAL FINANCE LLC FORMERLY KNOWNAS WELLS FARGO CAPITAL FINANCE INC & WELLS FARGO FOOTHILL INC
BANCO POPULAR DE PUERTO RICO,31,BANCO POPULAR DE PUERTO RICO
BANCO SANTANDER PUERTO RICO,31,BANCO SANTANDER PUERTO RICO
"CHASE MANHATTAN BANK N.A., THE",31,CHASE MANHATTAN BANK NA
"CHEMICAL BANK, AS SUCCESSOR IN INTEREST TO MANUFACTURERS HANOVER TRUST COMPANY",31,CHEMICAL BANK AS SUCCESSOR IN INTEREST TO MANUFACTURERS HANOVER TRUST CO
"FLEET BANK OF MASSACHUSETTS, N.A. (SEE DOCUMENT FOR DETAILS)",31,FLEET BANK OF MASSACHUSETTS NA SEE DOCUMENT FOR DETAILS
"GDE SYSTEMS, INC. A CORP. OF DELAWARE",31,GDE SYSTEMS INC A CORP OF DELAWARE
GOVERNMENT DEVELOPMENT BANK FOR PUERTO RICO,31,GOVERNMENT DEVELOPMENT BANK FOR PUERTO RICO
"JEFFERIES FINANCE LLC, COLLATERAL AGENT",31,JEFFERIES FINANCE LLC COLLATERAL AGENT
MASSACHUSETTS MUTUAL LIFE INSURANCE CO.,31,MASSACHUSETTS MUTUAL LIFE INSURANCE CO
OVERSEAS PRIVATE INVESTMENT CORPORATION,31,OVERSEAS PRIVATE INVESTMENT CORP
"AB PRIVATE CREDIT INVESTORS LLC, AS COLLATERAL AGENT",30,AB PRIVATE CREDIT INVESTORS LLC
ABELCO FINANCE LLC,30,ABELCO FINANCE LLC
"AG PAINTBALL HOLDINGS LLC, AS SUCCESSOR ADMINISTRATIVE AGENT TO BANK OF AMERICA, N.A.",30,AG PAINTBALL HOLDINGS LLC TO BANK OF AMERICA NA
"ALMATIS, INC.",30,ALMATIS INC
"BANK OF NEW YORK, AS AGENT, THE",30,BANK OF NEW YORK
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH (F/K/A CREDIT SUISSE FIRST BOSTON)",30,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH F K A CREDIT SUISSE FIRST BOSTON
"CREDIT SUISSE AG, LONDON BRANCH, AS COLLATERAL AGENT",30,CREDIT SUISSE AG LONDON BRANCH
CREDIT SUISSE TORONTO BRANCH (FKA CREDIT SUISSE FIRST BOSTON TORONTO BRANCH),30,CREDIT SUISSE TORONTO BRANCH FKA CREDIT SUISSE FIRST BOSTON TORONTO BRANCH
"FIRST COMMUNITY FINANCIAL, A DIVISION OF PACIFIC WESTERN BANK",30,FIRST COMMUNITY FINANCIAL A DIVISION OF PACIFIC WESTERN BANK
"GATX VENTURES, INC.",30,GATX VENTURES INC
"GOLD HILL VENTURE LENDING 03, LP",30,GOLD HILL VENTURE LENDING 03 LP
HORIZON TECHNOLOGY FUNDING COMPANY LLC,30,HORIZON TECHNOLOGY FUNDING CO LLC
IRVING TRUST COMPANY,30,IRVING TRUST CO
JOHNSON & JOHNSON,30,JOHNSON & JOHNSON
KREOS CAPITAL V (UK) LIMITED,30,KREOS CAPITAL V UK LTD
LC CAPITAL MASTER FUND LTD.,30,LC CAPITAL MASTER FUND LTD
"LV ADMINISTRATIVE SERVICES, INC.",30,LV ADMINISTRATIVE SERVICES INC
"NEWLIGHT CAPITAL, LLC",30,NEWLIGHT CAPITAL LLC
"NEWSTAR FINANCIAL, INC., AS AGENT",30,NEWSTAR FINANCIAL INC
"RNS FLEX, LLC",30,RNS FLEX LLC
"SANKATY CREDIT OPPORTUNITIES IV, L.P.",30,SANKATY CREDIT OPPORTUNITIES IV LP
SCOTT LAKE HOLDINGS INC.,30,SCOTT LAKE HOLDINGS INC
TCW ASSET MANAGEMENT COMPANY LLC,30,TCW ASSET MANAGEMENT CO LLC
TEXAS COMMERCE BANK NATIONAL ASSOCIATION,30,TEXAS COMMERCE BANK NA
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,30,NORTHWESTERN MUTUAL LIFE INSURANCE CO
WELLS FARGO BANK ARIZONA NATIONAL ASSOCIATION,30,WELLS FARGO BANK ARIZONA NA
"YA GLOBAL INVESTMENTS, L.P.",30,YA GLOBAL INVESTMENTS LP
BANK OF NOVA SCOTIA,29,BANK OF NOVA SCOTIA
"CHASE MANHATTAN BANK, THE,",29,CHASE MANHATTAN BANK
"DEUTSCHE BANK AG NEW YORK BRANCH, AS ADMINISTRATIVE AGENT",29,DEUTSCHE BANK AG NEW YORK BRANCH
"EAST RIVER CAPITAL, LLC",29,EAST RIVER CAPITAL LLC
"GENERAL ELECTRIC COMPANY (AS SUCCESSOR IN INTEREST BY MERGER TO GENERAL ELECTRIC CAPITAL CORPORATION), AS AGENT",29,GENERAL ELECTRIC CO AS SUCCESSOR IN INTEREST BY MERGER TO GENERAL ELECTRIC CAPITAL CORP
"MHE TECHNOLOGIES, INC.",29,MHE TECHNOLOGIES INC
POST ROAD ADMINISTRATIVE LLC,29,POST ROAD ADMINISTRATIVE LLC
SILICON LABORATORIES INC.,29,SILICON LABORATORIES INC
SUMITOMO BANK OF CALIFORNIA,29,SUMITOMO BANK OF CALIFORNIA
"THE BANK OF NOVA SCOTIA, AS SECURED PARTY",29,BANK OF NOVA SCOTIA AS SECURED PARTY
"VECTOR PTNX SELLER NOTE (DEL), LLC",29,VECTOR PTNX SELLER NOTE DEL LLC
"BANK OF AMERICA, N.A. (AS SUCCESSOR BY MERGER TO LASALLE BANK NATIONAL ASSOCIATION, SUCCESSOR BY MERGER TO LASALLE BANK MIDWEST N.A.)",28,BANK OF AMERICA NA AS SUCCESSOR BY MERGER TO LASALLE BANK NA SUCCESSOR BY MERGER TO LASALLE BANK MIDWEST NA
"BANK OF AMERICA, N.A., SUCCESSOR BY MERGER TO LASALLE BUSINESS CREDIT, INC. AS AGENT",28,BANK OF AMERICA NA SUCCESSOR BY MERGER TO LASALLE BUSINESS CREDIT INC
"BNP PARIBAS, AS ADMINISTRATIVE AGENT",28,BNP PARIBAS
CREDIT SUISSE (F/K/A CREDIT SUISSE FIRST BOSTON),28,CREDIT SUISSE F K A CREDIT SUISSE FIRST BOSTON
"D.E. SHAW DIRECT CAPITAL PORTFOLIOS, L.L.C., AS AGENT",28,D E SHAW DIRECT CAPITAL PORTFOLIOS LLC
EGAIN CORPORATION,28,EGAIN CORP
"KELTIC FINANCIAL PARTNERS, LP",28,KELTIC FINANCIAL PARTNERS LP
